"ID","Symbol","Name","Expression","Other databases"
"9528","TMEM59","transmembrane protein 59","Over-expressed",""
"56674","TMEM9B","TMEM9 domain family member B","Over-expressed","CA:Hs"
"7112","TMPO","thymopoietin","Under-expressed",""
"83857","TMTC1","transmembrane O-mannosyltransferase targeting cadherins 1","Over-expressed","GA:Hsµ"
"8795","TNFRSF10B","TNF receptor superfamily member 10b","Over-expressed",""
"8793","TNFRSF10D","TNF receptor superfamily member 10d","Over-expressed",""
"55504","TNFRSF19","TNF receptor superfamily member 19","Under-expressed",""
"7133","TNFRSF1B","TNF receptor superfamily member 1B","Under-expressed",""
"27242","TNFRSF21","TNF receptor superfamily member 21","Over-expressed",""
"8743","TNFSF10","TNF superfamily member 10","Over-expressed","DR:Mm"
"10140","TOB1","transducer of ERBB2, 1","Over-expressed","DR:Mm"
"10452","TOMM40","translocase of outer mitochondrial membrane 40","Under-expressed","L:Hs"
"7153","TOP2A","DNA topoisomerase II alpha","Under-expressed","GA:Hs"
"11073","TOPBP1","DNA topoisomerase II binding protein 1","Under-expressed","CA:Hs"
"94241","TP53INP1","tumor protein p53 inducible nuclear protein 1","Over-expressed","GA:HsµCA:Hs"
"7168","TPM1","tropomyosin 1","Over-expressed",""
"7169","TPM2","tropomyosin 2","Over-expressed",""
"127262","TPRG1L","tumor protein p63 regulated 1 like","Over-expressed",""
"51002","TPRKB","TP53RK binding protein","Under-expressed",""
"22974","TPX2","TPX2 microtubule nucleation factor","Under-expressed","CA:Hs"
"6434","TRA2B","transformer 2 beta homolog","Under-expressed","CA:Hs"
"10131","TRAP1","TNF receptor associated protein 1","Under-expressed","GA:Hs"
"10346","TRIM22","tripartite motif containing 22","Over-expressed",""
"10155","TRIM28","tripartite motif containing 28","Under-expressed","CA:Hs"
"286827","TRIM59","tripartite motif containing 59","Under-expressed","GA:Ce"
"117854","TRIM6","tripartite motif containing 6","Under-expressed",""
"9319","TRIP13","thyroid hormone receptor interactor 13","Under-expressed","GA:ScGA:Ce"
"57570","TRMT5","tRNA methyltransferase 5","Under-expressed",""
"10024","TROAP","trophinin associated protein","Under-expressed",""
"51393","TRPV2","transient receptor potential cation channel subfamily V member 2","Over-expressed","GA:Ce"
"8848","TSC22D1","TSC22 domain family member 1","Over-expressed","GA:HsµCA:Hs"
"116461","TSEN15","tRNA splicing endonuclease subunit 15","Under-expressed",""
"441631","TSPAN11","tetraspanin 11","Over-expressed",""
"27075","TSPAN13","tetraspanin 13","Over-expressed",""
"7270","TTF1","transcription termination factor 1","Under-expressed",""
"7272","TTK","TTK protein kinase","Under-expressed","CA:Hs"
"10376","TUBA1B","tubulin alpha 1b","Under-expressed",""
"203068","TUBB","tubulin beta class I","Under-expressed",""
"10383","TUBB4B","tubulin beta 4B class IVb","Under-expressed",""
"27175","TUBG2","tubulin gamma 2","Over-expressed",""
"10426","TUBGCP3","tubulin gamma complex associated protein 3","Under-expressed",""
"286319","TUSC1","tumor suppressor candidate 1","Under-expressed",""
"51030","TVP23B","trans-golgi network vesicle protein 23 homolog B","Over-expressed","GA:Sc"
"7291","TWIST1","twist family bHLH transcription factor 1","Under-expressed","CA:Hs"
"10628","TXNIP","thioredoxin interacting protein","Over-expressed","GA:HsµCA:Hs"
"7298","TYMS","thymidylate synthetase","Under-expressed","CA:Hs"
"10054","UBA2","ubiquitin like modifier activating enzyme 2","Under-expressed",""
"11065","UBE2C","ubiquitin conjugating enzyme E2 C","Under-expressed","CA:Hs"
"7328","UBE2H","ubiquitin conjugating enzyme E2 H","Over-expressed","GA:ScL:Hs"
"27338","UBE2S","ubiquitin conjugating enzyme E2 S","Under-expressed","DR:Sc"
"29089","UBE2T","ubiquitin conjugating enzyme E2 T","Under-expressed",""
"130507","UBR3","ubiquitin protein ligase E3 component n-recognin 3","Over-expressed","GA:Sc"
"55148","UBR7","ubiquitin protein ligase E3 component n-recognin 7","Under-expressed",""
"7345","UCHL1","ubiquitin C-terminal hydrolase L1","Over-expressed","GA:CeGA:CeGA:ScGA:Hs"
"51377","UCHL5","ubiquitin C-terminal hydrolase L5","Under-expressed","GA:Ce"
"29128","UHRF1","ubiquitin like with PHD and ring finger domains 1","Under-expressed","CA:Hs"
"80328","ULBP2","UL16 binding protein 2","Over-expressed",""
"7372","UMPS","uridine monophosphate synthetase","Under-expressed",""
"9816","URB2","URB2 ribosome biogenesis homolog","Under-expressed",""
"7398","USP1","ubiquitin specific peptidase 1","Under-expressed","CA:Hs"
"9960","USP3","ubiquitin specific peptidase 3","Under-expressed","GA:Sc"
"54532","USP53","ubiquitin specific peptidase 53","Over-expressed",""
"51118","UTP11","UTP11 small subunit processome component","Under-expressed",""
"27340","UTP20","UTP20 small subunit processome component","Under-expressed",""
"6844","VAMP2","vesicle associated membrane protein 2","Over-expressed",""
"79001","VKORC1","vitamin K epoxide reductase complex subunit 1","Over-expressed",""
"27072","VPS41","VPS41 subunit of HOPS complex","Over-expressed","GA:DmGA:Sc"
"7443","VRK1","VRK serine/threonine kinase 1","Under-expressed","GA:Ce"
"80232","WDR26","WD repeat domain 26","Over-expressed","GA:CeGA:Sc"
"89891","WDR34","WD repeat domain 34","Under-expressed",""
"22911","WDR47","WD repeat domain 47","Over-expressed",""
"11091","WDR5","WD repeat domain 5","Under-expressed","GA:Ce"
"84058","WDR54","WD repeat domain 54","Under-expressed",""
"126820","WDR63","WD repeat domain 63","Over-expressed",""
"84128","WDR75","WD repeat domain 75","Under-expressed",""
"79968","WDR76","WD repeat domain 76","Under-expressed",""
"55093","WDYHV1","N-terminal glutamine amidase 1","Under-expressed",""
"7466","WFS1","wolframin ER transmembrane glycoprotein","Over-expressed","L:Hs"
"7474","WNT5A","Wnt family member 5A","Over-expressed","CA:Hs"
"7514","XPO1","exportin 1","Under-expressed","CA:Hs"
"8089","YEATS4","YEATS domain containing 4","Under-expressed","CA:Hs"
"51646","YPEL5","yippee like 5","Over-expressed","GA:CeGA:Sc"
"26137","ZBTB20","zinc finger and BTB domain containing 20","Over-expressed","L:Hs"
"57659","ZBTB4","zinc finger and BTB domain containing 4","Over-expressed",""
"64429","ZDHHC6","zinc finger DHHC-type palmitoyltransferase 6","Under-expressed","GA:Sc"
"79752","ZFAND1","zinc finger AN1-type containing 1","Under-expressed",""
"7763","ZFAND5","zinc finger AN1-type containing 5","Over-expressed",""
"79776","ZFHX4","zinc finger homeobox 4","Under-expressed","GA:Ce"
"53349","ZFYVE1","zinc finger FYVE-type containing 1","Over-expressed",""
"64393","ZMAT3","zinc finger matrin-type 3","Over-expressed","CA:Hs"
"7570","ZNF22","zinc finger protein 22","Under-expressed",""
"91975","ZNF300","zinc finger protein 300","Under-expressed",""
"195828","ZNF367","zinc finger protein 367","Under-expressed","GA:Hsµ"
"118472","ZNF511","zinc finger protein 511","Under-expressed",""
"147948","ZNF582","zinc finger protein 582","Over-expressed",""
"162963","ZNF610","zinc finger protein 610","Over-expressed",""
"389114","ZNF662","zinc finger protein 662","Under-expressed",""
"7552","ZNF711","zinc finger protein 711","Under-expressed",""
"57169","ZNFX1","zinc finger NFX1-type containing 1","Over-expressed",""
"9183","ZW10","zw10 kinetochore protein","Under-expressed","L:Hs"
"55055","ZWILCH","zwilch kinetochore protein","Under-expressed",""
"11130","ZWINT","ZW10 interacting kinetochore protein","Under-expressed","L:Hs"
